time, axial_temperature (degree celsius), surface_temperature (degree celsius)
1269.0000,25.6200,45.4000
1270.0000,25.3900,47.1300
1271.0000,25.2200,47.8900
1272.0000,25.0900,48.2200
1273.0000,24.8900,47.4900
1274.0000,24.7900,47.8900
1275.0000,24.6900,48.4900
1276.0000,24.4600,48.8500
1277.0000,24.2600,48.9800
1278.0000,24.0700,48.4500
1279.0000,23.9300,47.8900
1280.0000,23.7700,47.9600
1281.0000,23.6400,48.2900
1282.0000,23.5000,48.7800
1283.0000,23.3400,48.7500
1284.0000,23.1700,48.4200
1285.0000,23.0700,48.4500
1286.0000,22.9800,48.6800
1287.0000,22.8400,48.7800
1288.0000,22.6800,48.6500
1289.0000,22.5800,48.5500
1290.0000,22.4500,48.4500
1291.0000,22.3100,48.4500
1292.0000,22.2200,48.6500
1293.0000,22.0800,48.9200
1294.0000,21.9800,49.1100
1295.0000,21.8800,49.0500
1296.0000,21.7900,49.1100
1297.0000,21.6900,49.5500
1298.0000,21.5500,49.4800
1299.0000,21.4900,49.5100
1300.0000,21.3900,49.4800
1301.0000,21.2900,49.4800
1302.0000,21.1900,49.4100
1303.0000,21.1200,49.5500
1304.0000,21.0600,49.6800
1305.0000,20.9600,49.6800
1306.0000,20.8900,49.8100
1307.0000,20.7900,49.8800
1308.0000,20.7300,49.9100
1309.0000,20.7000,49.8400
1310.0000,20.6000,49.8400
1311.0000,20.5600,50.0100
1312.0000,20.5000,50.0800
1313.0000,20.4600,50.1100
1314.0000,20.4300,50.0400
1315.0000,20.4000,49.9400
1316.0000,20.3600,50.0100
1317.0000,20.3300,50.0800
1318.0000,20.3000,50.1100
1319.0000,20.3000,50.1800
1320.0000,20.2700,50.2400
1321.0000,20.2700,50.2100
1322.0000,20.2300,50.2400
1323.0000,20.2700,50.2100
1324.0000,20.2000,50.1100
1325.0000,20.2300,50.0800
1326.0000,20.2300,50.0400
1327.0000,20.2700,50.2100
1328.0000,20.2700,50.2700
1329.0000,20.2700,50.2700
1330.0000,20.3000,50.3400
1331.0000,20.3300,50.3100
1332.0000,20.3600,50.2400
1333.0000,20.3600,50.1400
1334.0000,20.4000,50.2100
1335.0000,20.4600,50.2100
1336.0000,20.5000,50.1400
1337.0000,20.5600,50.1400
1338.0000,20.6000,50.0400
1339.0000,20.6600,50.1100
1340.0000,20.7000,50.1100
1341.0000,20.7600,50.0800
1342.0000,20.8300,50.1400
1343.0000,20.8900,50.1100
1344.0000,20.9600,50.0800
1345.0000,21.0300,50.1100
1346.0000,21.0600,50.0400
1347.0000,21.1600,50.1100
1348.0000,21.1600,50.3100
1349.0000,21.2600,50.4100
1350.0000,21.3900,50.2400
1351.0000,21.4600,50.2100
1352.0000,21.5200,50.3100
1353.0000,21.6200,50.4100
1354.0000,21.6900,50.4400
1355.0000,21.7900,50.5400
1356.0000,21.8800,50.6700
1357.0000,21.9500,50.6700
1358.0000,22.1200,50.8400
1359.0000,22.4500,51.1700
1360.0000,22.4800,51.2000
1361.0000,22.3800,50.4100
1362.0000,21.7900,47.5600
1363.0000,22.1800,47.0600
1364.0000,22.2800,45.7700
1365.0000,22.4100,25.7900
1366.0000,22.3100,8.0600
1367.0000,22.3100,2.9900
1368.0000,22.4100,3.0900
1369.0000,22.5500,1.8900
1370.0000,22.7400,2.4200
1371.0000,22.8800,1.5900
1372.0000,23.0400,1.7300
1373.0000,23.1700,1.2600
1374.0000,23.2700,1.3300
1375.0000,23.4000,1.0300
1376.0000,23.4700,1.0300
1377.0000,23.7700,1.8300
1378.0000,23.9300,1.9900
1379.0000,24.0700,2.0600
1380.0000,24.1000,2.1200
1381.0000,24.2300,2.5900
1382.0000,24.4300,2.7900
1383.0000,24.5600,2.9900
1384.0000,24.6900,3.1500
1385.0000,24.8900,2.5900
1386.0000,24.9600,1.9900
1387.0000,25.0900,2.1600
