V,T
48.3900,3.2320
48.3900,3.2310
48.3900,3.2320
48.3900,3.2310
48.3900,3.2320
48.3900,3.2310
48.3900,3.2310
48.3800,3.2320
48.3800,3.2300
48.3800,3.2300
48.3800,3.2310
48.3800,3.2320
48.3800,3.2330
48.3800,3.2310
48.3700,3.2320
48.3700,3.2310
48.3700,3.2300
48.3700,3.2310
48.3700,3.2310
48.3700,3.2310
48.3700,3.2320
48.3700,3.2320
48.3600,3.2320
48.3700,3.2320
48.3700,3.2330
48.3600,3.2320
48.3600,3.2320
48.3600,3.2310
48.3600,3.2320
48.3500,3.2300
48.3600,3.2320
48.3500,3.2330
48.3500,3.2320
48.3500,3.2340
48.3500,3.2330
48.3500,3.2340
48.3500,3.2340
48.3500,3.2340
48.3400,3.2340
48.3500,3.2340
48.3400,3.2340
48.3400,3.2330
48.3400,3.2330
48.3400,3.2320
48.3400,3.2320
48.3400,3.2310
48.3300,3.2310
48.3300,3.2310
48.3300,3.2310
48.3300,3.2320
48.3300,3.2330
48.3300,3.2320
48.3200,3.2320
48.3300,3.2320
48.3200,3.2330
48.3200,3.2330
48.3200,3.2330
48.3200,3.2330
48.3200,3.2340
48.3200,3.2340
48.3200,3.2340
48.3200,3.2340
48.3200,3.2330
48.3100,3.2340
48.3100,3.2330
48.3100,3.2360
48.3100,3.2340
48.3100,3.2360
48.3100,3.2330
48.3100,3.2340
48.3100,3.2370
48.3100,3.2370
48.3100,3.2360
48.3100,3.2360
48.3000,3.2370
48.3000,3.2370
48.3000,3.2370
48.3000,3.2360
48.3000,3.2360
48.3000,3.2340
48.3000,3.2360
48.2900,3.2370
48.3000,3.2330
48.2900,3.2330
48.2900,3.2340
48.2900,3.2360
48.2900,3.2380
48.2900,3.2370
48.2900,3.2380
48.2900,3.2360
48.2900,3.2360
48.2800,3.2360
48.2800,3.2360
48.2800,3.2360
48.2800,3.2370
48.2800,3.2370
48.2800,3.2360
48.2800,3.2340
48.2700,3.2360
48.2800,3.2360
48.2700,3.2360
48.2700,3.2360
48.2700,3.2360
48.2700,3.2340
48.2700,3.2340
48.2700,3.2340
48.2700,3.2340
48.2700,3.2340
48.2700,3.2340
48.2600,3.2330
48.2600,3.2340
48.2600,3.2340
48.2600,3.2360
48.2600,3.2340
48.2600,3.2340
48.2600,3.2340
48.2500,3.2340
48.2600,3.2370
48.2500,3.2360
48.2500,3.2360
48.2500,3.2360
48.2500,3.2370
48.2500,3.2330
48.2500,3.2370
48.2500,3.2380
48.2500,3.2360
48.2400,3.2360
48.2500,3.2360
48.2400,3.2360
48.2400,3.2360
48.2400,3.2360
48.2400,3.2370
48.2400,3.2360
48.2400,3.2360
48.2400,3.2360
48.2400,3.2360
48.2400,3.2370
48.2300,3.2360
48.2300,3.2360
48.2300,3.2340
48.2300,3.2360
48.2300,3.2360
48.2300,3.2340
48.2300,3.2340
48.2200,3.2360
48.2200,3.2340
48.2200,3.2340
48.2300,3.2360
48.2200,3.2340
48.2200,3.2360
48.2200,3.2340
48.2200,3.2340
48.2200,3.2330
48.2100,3.2330
48.2100,3.2330
48.2100,3.2330
48.2100,3.2340
48.2100,3.2330
48.2100,3.2340
48.2100,3.2340
48.2100,3.2360
48.2100,3.2340
48.2100,3.2370
48.2100,3.2370
48.2000,3.2360
48.2000,3.2370
48.2000,3.2370
48.2000,3.2370
48.2000,3.2360
48.2000,3.2370
48.2000,3.2380
48.2000,3.2370
48.2000,3.2370
48.2000,3.2380
48.2000,3.2370
48.1900,3.2370
48.1900,3.2360
48.1900,3.2360
48.1900,3.2360
48.1900,3.2340
48.1900,3.2370
48.1900,3.2360
48.1900,3.2370
48.1900,3.2370
48.1800,3.2370
48.1900,3.2360
48.1800,3.2370
48.1800,3.2360
48.1800,3.2370
48.1800,3.2370
48.1800,3.2380
48.1800,3.2360
48.1800,3.2360
48.1800,3.2370
48.1700,3.2380
48.1700,3.2380
48.1700,3.2360
48.1700,3.2370
48.1700,3.2360
48.1700,3.2370
48.1700,3.2360
48.1700,3.2360
48.1700,3.2360
48.1600,3.2360
48.1600,3.2340
48.1600,3.2370
48.1600,3.2360
48.1600,3.2360
48.1600,3.2370
48.1600,3.2340
48.1500,3.2360
48.1500,3.2340
48.1500,3.2370
48.1500,3.2360
48.1500,3.2370
48.1500,3.2390
48.1500,3.2380
48.1500,3.2370
48.1500,3.2370
48.1500,3.2370
48.1500,3.2360
48.1500,3.2360
48.1500,3.2360
48.1400,3.2370
48.1400,3.2380
48.1400,3.2390
48.1400,3.2380
48.1400,3.2380
48.1400,3.2380
48.1400,3.2370
48.1400,3.2380
48.1300,3.2380
48.1400,3.2380
48.1300,3.2370
48.1300,3.2370
